date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2023-04-13,12.26111,18.83714,41.86628,16.88127,26.42672,7.34007,66.78973,49.64969,64.03275,46.57885,45.73484,81.92056,60.75508,45.9673,45.56813,53.3409,22.2063,46.68601,48.67356,60.57307,48.05398,65.16673,19.23076,50.93773,15.1923,48,44.77668,91.20567,17.86984,64.29979,53.98876,81.40547,75.0766,70.07924,39.94837,58.99246,50.23939,83.39201
2023-04-14,18.74658,19.93473,41.98186,15.80654,26.89798,7.48677,48.37252,49.78981,55.05754,41.98647,37.29587,69.44279,58.52855,44.82063,38.52987,47.34014,24.7851,39.09046,41.32194,55.08662,39.73634,65.66894,21.30177,35.85896,20.1923,54,40.74564,73.61702,22.30592,64.80094,46.23595,78.51368,71.91011,64.41856,42.80661,60.40489,38.26949,77.11267
2023-04-15,22.75071,27.21744,59.19043,9.58126,24.33454,7.41342,39.64244,43.62447,51.92563,41.23887,33.33333,68.76111,66.06001,46.79631,36.8606,48.8006,21.48997,42.33188,53.84442,47.1346,43.72253,72.67979,28.1065,39.08477,18.84615,42.4,43.5087,55.1773,22.74534,68.94532,44.94382,74.00497,59.55056,75.48115,43.59047,53.29566,38.66279,74.00234
2023-04-16,17.1692,20.09789,61.04732,9.49001,25.91921,8.59223,53.03148,52.73236,56.7729,44.98398,41.89791,90.901,84.10454,59.02998,48.11597,56.5418,23.78223,49.54039,57.55395,54.08707,53.64092,78.26436,18.93491,44.48612,7.6923,36.8,56.94549,58.86524,20.73655,72.61107,50.50561,76.89676,65.06639,81.4653,46.70681,57.60357,51.36798,76.64319
2023-04-17,16.19244,23.6725,52.73452,12.7446,30.18125,10.11945,74.19354,56.28211,62.31739,48.47276,57.94221,85.89211,71.71345,51.11954,45.18742,54.52137,32.37822,47.02467,54.90107,53.68725,53.13873,66.4323,20.11834,38.70967,12.11538,60.4,53.38758,92.48226,22.20129,65.38656,57.41573,80.00621,72.21654,72.73168,46.55386,62.45291,58.01983,82.33568
2023-04-18,47.17587,35.2566,49.04742,11.65973,26.92387,10.18756,74.45102,56.2354,61.74192,50.63723,62.25876,79.93479,68.13165,44.59595,41.69269,54.14301,35.53008,47.21819,54.42895,46.62372,52.19711,67.91884,36.39053,46.21155,34.23076,59.2,49.98107,84.25531,25.13078,65.58927,57.97752,82.86691,84.78038,70.64531,45.68396,58.8983,55.93365,87.0892
2023-04-19,17.16313,17.69504,50.77476,21.52489,39.72553,20.08173,66.39623,55.02101,58.75387,48.64364,63.12664,79.87551,57.19264,48.40009,43.85982,49.39841,37.10601,49.2985,50.61825,49.35584,50.75329,67.93893,21.89349,43.43585,11.73076,58.8,50.24602,77.30496,35.86524,69.46337,46.23595,70.86442,70.88866,67.50768,40.52193,55.67325,53.18057,84.33098
2023-04-20,17.09033,18.18451,52.25061,28.94656,43.28327,31.03421,59.2839,57.58991,56.6401,46.94197,55.45278,72.67338,55.0242,48.60928,43.2253,43.29171,37.24928,46.54088,50.88803,46.37938,45.91964,63.92125,25.14792,37.28432,10.96153,53.6,47.50189,78.29787,36.89056,69.03541,44.88764,75.77736,70.9908,65.66391,40.68444,54.28436,53.21477,77.28873
2023-04-21,9.09421,12.69652,43.6368,21.40322,35.8001,52.17687,45.71511,48.90238,52.65604,43.60982,43.7136,67.57557,54.73378,47.57883,37.32916,41.33938,37.53581,45.81519,44.57059,40.91514,38.8575,60.18481,13.60946,33.83345,10.57692,54.8,41.63512,73.19148,29.6924,65.29646,39.04494,66.63557,65.16853,65.90651,36.61217,49.2467,40.16757,72.41784
2023-04-22,8.28732,11.37644,49.43099,17.22599,30.32625,48.73736,36.20773,45.25922,48.84904,41.30295,52.26675,69.6799,62.55566,57.87557,44.221,43.1782,20.34383,39.2356,48.21267,44.29142,38.3553,66.11088,10.05917,29.6324,4.03846,40.4,44.00075,61.13475,25.42372,69.49152,39.32584,65.92039,48.72318,71.77745,37.51075,38.67702,40.85157,66.72535
2023-04-23,9.15488,12.88935,57.24591,18.48322,31.3102,33.32896,50.03886,47.0808,54.45993,49.21324,60.53442,81.50563,83.81413,67.48276,54.72471,50.33673,31.23209,42.62215,57.63264,52.93203,47.86566,75.95419,9.46745,35.70892,4.03846,30.4,59.70855,56.4539,31.63841,78.14629,41.23595,69.8383,55.26046,78.18211,41.60214,47.52824,52.25718,72.76995
2023-04-24,12.12764,18.55532,54.1456,19.08141,36.7219,32.2366,71.08433,55.16113,57.75785,48.87148,70.17243,79.51985,73.55275,56.23305,52.33307,48.63412,36.96275,51.33043,58.16097,51.68813,48.87005,66.97468,14.49704,30.98274,9.61538,51.2,54.76911,82.69503,30.25737,69.36764,51.12359,71.5796,70.88866,71.59954,40.86607,56.9209,58.05403,79.92957
2023-04-25,41.52763,37.06615,47.25023,14.7014,31.78663,14.49415,71.14263,57.87015,54.96901,50.07475,70.44649,69.14641,65.94385,43.32532,47.81335,49.19409,36.96275,49.15336,56.7446,45.55752,51.03578,65.18682,35.2071,35.85896,31.73076,53.6,56.68054,83.12056,25.13078,65.46539,59.94382,77.58084,69.05005,69.12502,42.27129,60.54613,59.59302,83.62676
2023-04-26,16.64745,23.90981,42.90014,13.87001,27.90264,10.63551,63.22386,53.19943,52.34617,47.51868,67.91138,69.35388,58.9545,46.55613,50.37094,47.832,24.64183,44.6057,51.79856,46.86805,49.27809,61.85214,20.11834,33.2333,10,51.6,48.59954,78.58156,19.85771,62.66118,56.46067,71.70398,60.98059,66.94161,40.23515,57.60357,56.29274,81.10328
